code,item
119E2,询问通知
11461,撤销边控通知
11471,网上追逃
11481,撤销网上追逃
11500,扣押类
11511,扣押邮件/电报
12552,移送直诉
12553,捕诉
12554,直诉
12555,退回补充侦查
12556,免予起诉
12557,不起诉
12571,变更为取保候审
12572,变更为监视居住
12573,不予变更强制措施
12581,第一次延长侦查羁押期限
12582,不予延长侦查羁押期限
12591,第二次延长侦查羁押期限
12592,不予延长侦查羁押期限
125A1,第三次延长侦查羁押期限
125A2,不予延长侦查羁押期限
31811,解除劳动教养
31911,聆询告知
31A11,聆询
31A12,不予聆询
32111,收容教养
32112,不予收容教养
32116,收容教养建议捕办
32117,收容教养治安处罚
32118,收容教养退查
40000,盘问类
41111,继续盘问
41121,当场盘问、检查
41131,一延继续盘问
41141,二延继续盘问
99999,不同意
11981,通知未成年证人法定代理人到场
12000,刑事强制措施
12100,拘传类
12111,拘传
12112,不予拘传
12200,拘留类
12211,刑事拘留
12212,不予刑事拘留
12221,拘留释放
12222,不予拘留释放
12231,身份不清不计羁押期限
12241,延长拘留一至四日
12242,不予延长拘留
12251,延长拘留至三十日
12252,不予延长拘留
12300,监视居住类
12311,监视居住
12312,不予监视居住
12321,解除监视居住
22400,场所强制措施
22411,责令停止活动
22421,责令限期整改
22422,责令限期改正
22423,责令限期恢复原状
22424,责令限期拆除
22425,责令限期清除
22500,物品强制措施
22511,收缴
22521,追缴
23000,治安处罚类
23100,个人治安处罚
23111,警告
23112,罚款
23113,行政拘留
23114,警告并处罚款
23115,行政拘留并处罚款
23117,行政拘留（不予执行）
23119,不予治安处罚
2311A,行政拘留（不予执行）并处罚款
22231,提前解除收容教育
22241,解除收容教育
22300,涉外强制措施
22311,缩短停留期
22321,取消居留资格
22331,拘留审查
223B1,延长拘留审查
22341,出入境监视居住
22342,出入境延长监视居住
22351,遣送出境
22361,限期出境
22371,扣留护照证件
22381,解除拘留审查
22391,出入境解除监视居住
223A1,收缴护照证件
2421C,责令停业整顿并处罚款
2421D,责令停机整顿
2421E,责令限期改正
2421F,责令限期改正并处警告
2421G,法律、行政法规规定的其他行政处罚
2421H,不予行政处罚
24221,撤销单位行政处罚
24311,刑事案件行政处罚
25000,当场处罚类
25100,个人当场处罚
25111,警告
25112,罚款
25113,警告并处罚款
25200,单位当场处罚
25211,警告
25212,罚款
25213,警告并处罚款
90000,不同意类
10000,刑事措施
11000,刑事侦查措施
11100,传唤、询问类
11111,刑事传唤
11121,询问受害人
11131,询问证人
11141,询问嫌疑人
31119,劳动教养退回
31211,所外执行
31212,不予所外执行
31311,撤销劳动教养
31411,撤销所外执行
31412,撤销所外执行并延长劳教期
31511,减少劳动教养期限
31611,提前解除除劳动教养
31711,延长劳动教养期限
11336,珍稀动植物鉴定
11337,制品鉴定
11338,违禁品鉴定
11339,危险品鉴定
1133A,电子数据鉴定
11341,刑事技术鉴定(重新鉴定)
11342,人身伤害医学鉴定(重新鉴定)
23132,行政拘留暂缓执行(担保人)
24132,行政拘留暂缓执行(担保人)
24421,收取保证金
24431,退还保证金
24441,没收保证金
11343,精神病医学鉴定(重新鉴定)
11344,扣押物品价格鉴定(重新鉴定)
11345,文物鉴定(重新鉴定)
11346,珍稀动植物鉴定(重新鉴定)
11347,制品鉴定(重新鉴定)
11348,违禁品鉴定(重新鉴定)
11349,危险品鉴定(重新鉴定)
1134A,电子数据鉴定(重新鉴定)
11371,办案协作
11381,协查通报
11391,协查通报撤销
11400,通缉类
11411,通缉
11421,撤销通缉
11431,悬赏通告
11441,撤销悬赏通告
11451,边控通知
26000,物品处理
26111,返还受害人
26112,销毁
26113,上缴国库
26131,没收物品
30000,劳动教养类
31111,劳动教养
31112,不予劳动教养
31113,劳动教养同时所外执行
31114,免予劳动教养
31115,劳动教养不予所外执行
31116,劳动教养建议捕办
31117,劳动教养治安处罚
31118,劳动教养退查
11521,扣押一般物品
11531,解除扣押邮件/电报
11600,物品处理类
11611,物品处理
11612,物品销毁
11613,物品发还
11614,物品随案移交
11615,物品随案移送
11616,物品移送主管机关处理
11617,物品变卖、拍卖
11621,物品没收
11631,物品随案移交
11641,物品销毁
11651,物品发还
11700,存款汇款类
11711,查询存款
11721,冻结存款
11731,解除冻结存款
11741,查询汇款
11751,冻结汇款
11761,解除冻结汇款
11800,回避类
11811,回避
11831,回避复议
11900,其它措施
11911,调取证据
11921,律师会见
11931,聘请律师
11941,通知被害人
11951,通知证人
11961,通知未成年犯罪嫌疑人法定代理人到场
11971,通知未成年受害人法定代理人到场
22481,责令限期整改治安隐患
22431,同意延期整改
22432,不同意延期整改
22441,整改复查合格
22442,整改复查不合格
22451,整改通报
12331,指定监视居住
12332,不予指定监视居住
11351,刑事技术鉴定(补充鉴定)
11352,人身伤害医学鉴定(重新鉴定)
11353,精神病医学鉴定(补充鉴定)
11354,扣押物品价格鉴定(补充鉴定)
11355,文物鉴定(补充鉴定)
11356,珍惜动植物鉴定(补充鉴定)
11357,制品鉴定(补充鉴定)
11358,违禁品鉴定(补充鉴定)
11359,危险品鉴定(补充鉴定)
1135A,电子数据鉴定(补充鉴定)
125M1,计算羁押期限
125M2,不予计算羁押期限
12561,扣押特殊物品
12601,同意对保证人罚款复议
11771,查询财产
11781,冻结财产
11791,解除冻结财产
12461,退还保证金
11541,查封
11551,解除查封
11991,强制医疗
21361,延长扣押(扣留)
11571,延长查封
125J1,刑事和解
111A1,刑事传唤延长
27111,强制执行
24412,行政拘留暂缓执行(担保人)
11661,被盗抢汽车登记
11671,被盗抢汽车撤销
11821,驳回回避
11922,不予律师会见
11932,不予聘请律师
21451,非强制人体毒品成分检测
21452,非强制酒精度检测
21453,非强制性病检测
23131,行政拘留暂缓执行(保证金)
23121,撤销个人治安处罚
23200,单位治安处罚
23221,撤销单位治安处罚
23311,个人处罚告知
23321,单位处罚告知
24000,行政处罚类
24100,个人行政处罚
24111,警告
24112,罚款
24114,没收非法财物
24115,警告并处罚款
24116,没收非法财物违法所得并处罚款
24222,通报批评
24228,限制从业
23213,降低资质等级
24227,责令关闭
24224,降低资质等级
24223,暂扣许可证件
23211,通报批评
23217,限制从业
23216,责令关闭
24225,吊销许可证件
21811,同意约谈
21812,不同意约谈
21911,终止调查
122A1,停止计算羁押期限
124D2,不准许被取保候审人离开所居市县
22182,不予提前解除强制隔离戒毒
2288A,责令改正
24113,没收违法所得
11300,鉴定、辨认类
11311,出所辨认
11321,物品辨认
11322,文件辨认
11323,尸体辨认
11324,场所辨认
11325,嫌疑人辨认
11331,刑事技术鉴定
11332,人身伤害医学鉴定
11333,精神病医学鉴定
11334,物品价格鉴定
11335,文物鉴定
124D1,准许被取保候审人离开所居市县
122B1,恢复计算羁押期限
12551,移送起诉
2421L,责令停止施工并罚款
1134B,准予重新鉴定
1134C,不准予重新鉴定
1135B,准予补充鉴定
1135C,不准予补充鉴定
21421,准予重新鉴定
21422,不准予重新鉴定
11251,人身、住宅搜查
24415,不予暂缓执行行政拘留
50000,无
21415,毒瘾鉴定
24511,同意延期缴纳罚款
24512,不同意延期缴纳罚款
2421I,责令停止使用
2421J,责令停止使用并罚款
2421K,责令停止施工
22461,同意出具治安隐患报告
24411,行政拘留暂缓执行(保证金)
12322,不予解除监视居住
12400,取保候审类
12411,保证金取保候审
12412,保证人取保候审
12413,不予取保候审
12431,对保证人罚款
12432,不予对保证人罚款
12441,撤销原罚款决定
12442,维持原罚款决定
12471,没收保证金
12472,没收保证金、提出保证人
12473,没收保证金、重新收取保证金
12474,不予没收保证金
12481,撤销原没收决定
12482,维持原没收决定
12491,解除取保候审
12492,解除取保候审并退还保证金
12493,不予解除取保候审
124C1,责令具结悔过
12500,逮捕起诉类
12511,提请逮捕
12512,逮捕
12513,因不构成犯罪不予逮捕
12514,证据不足不予逮捕
12515,没有逮捕必要不予逮捕
12516,不予提请逮捕
12531,重新计算羁押期限
12532,不予重新计算羁押期限
12541,逮捕释放
125G1,补充侦查
20000,行政措施
21000,行政调查措施
21100,传唤类
21111,书面传唤
21121,延长传唤
21131,口头传唤
21200,勘验、检查类
21211,现场勘验
2411C,不予行政处罚
2411D,行政拘留（不予执行）并处罚款
24121,撤销个人行政处罚
24200,单位行政处罚
24211,警告
24212,罚款
24213,没收违法所得
24214,没收非法财物
24215,警告并处罚款
24216,没收非法财物违法所得并处罚款
24217,暂扣执照
24218,吊销执照
24219,暂扣许可证
2421A,吊销许可证
2421B,责令停产停业
21221,单位检查
21222,住宅检查
21223,人身检查
21224,随身物品检查
21300,物品调查
21311,抽样取证
21321,先行登记保存
21331,扣押(扣留)
21341,物品登记
21400,鉴定、检测类
21411,证据鉴定
21412,价格鉴定
21413,精神鉴定
21414,伤情鉴定
21431,人体毒品成分检测
21432,酒精度检测
21433,性病检测
21441,强制人体毒品成分检测
21442,强制酒精度检测
21443,强制性病检测
21500,辨认类
21511,物品辨认
21512,场所辨认
21513,人员辨认
21600,听证类
21611,受理听证
21621,不予受理听证
22000,行政强制措施
22100,戒毒类
22151,强制隔离戒毒
22161,延长强制隔离戒毒
24117,暂扣执照
24118,吊销执照
24119,行政拘留
2411A,行政拘留并处罚款
2411B,行政拘留（不予执行）
23214,吊销许可证件
24226,限制开展生产经营活动
23212,暂扣许可证件
23215,限制开展生产经营活动
125P1,第二次补充侦查
223E1,拘留审查
223D1,限期迁离
223C1,限制活动范围
22171,解除强制戒毒
22181,提前解除强制隔离戒毒
221A1,社区戒毒
221B1,社区康复
221C1,解除社区戒毒
221D1,解除社区康复
22200,收容教育类
22211,收容教育
22221,延长收容教育
12542,不予逮捕释放
125B1,第四次延长侦查羁押期限
125B2,不予延长侦查羁押期限
125C1,对不批准逮捕决定复议
125C2,不同意对不批准逮捕决定复议
125D1,对不批准逮捕决定复核
125D2,不同意对不批准逮捕决定复核
125E1,对不起诉决定复议
125E2,不同意对不起诉决定复议
125F1,对不起诉决定复核
125F2,不同意对不起诉决定复核
11151,终止侦查
21711,调取证据
23133,不暂缓执行行政拘留(保证金)
23134,不暂缓执行行政拘留(担保人)
24413,不暂缓执行行政拘留(保证金)
24414,不暂缓执行行政拘留(担保人)
21612,不予受理听证
27211,代履行
27311,申请人民法院强制执行
22462,不同意出具治安隐患报告
221E1,同意解除社区戒毒
221E2,不同意解除社区戒毒
221F1,同意解除社区康复
221F2,不同意解除社区康复
22471,责令立即改正
22472,不同意责令限期立即改正
21141,强制传唤
119A1,提供法律援助
125I1,变更强制措施
125I2,不予变更强制措施
125I3,不予释放
11561,同意扣留外国籍犯罪嫌疑人护照
11562,不同意扣留外国籍犯罪嫌疑人护照
12121,延长至二十四小时拘传
12122,不同意延长至二十四小时拘传
111A2,不同意传唤至二十四小时
116A1,建议没收违法所得
116A2,不同意没收违法所得
124A1,同意没收保证金复议
124A2,不同意没收保证金复议
11200,搜查、勘验、检查类
11211,人身搜查
11221,物品搜查
11231,住宅搜查
11241,其它搜查
11261,勘验
11271,检查
11291,解剖尸体
